id,CK_7,CK_14,CK_24,0.5N_5,0.5N_10,0.5N_15,1N_6,1N_9,1N_13,0.5SS_4,0.5SS_8,0.5SS_12,1SS_2,1SS_20,1SS_22,2SS_1,2SS_17,2SS_21,4SS_11,4SS_16,4SS_19,1CM_3,1CM_8,1CM_23
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Gordoniaceae|g__Gordonia,0,0,0,0,0,0,0.51176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycolicibacterium,0,0,0,0.4034,0,0,0,0,0.49013,0,0,0,0.89533,0,0,1.18882,0.33703,0,2.91384,3.38422,10.20199,0.11837,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Geodermatophilales|f__Geodermatophilaceae|g__Geodermatophilus,0.49928,2.51172,0.62439,1.36287,0.55031,1.8201,1.95836,1.61965,1.97039,0,1.53193,0.62544,0,0.48237,0,1.08741,0.35682,0,0.2494,0.29717,0,0.22907,0.41899,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Cellulomonadaceae|g__Cellulomonas,0,0,0,0,0,0,0,0,0,0,0,0.45383,0,0,0,0.65798,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Intrasporangiaceae|g__Knoellia,0,0,0,0,0,0,0,0,0,0.38563,0,0,0,0,0,1.40845,0,0,0.92804,0.11518,0.07128,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Arthrobacter,0,0,0,0,0,0,0,0.29365,0,0,0,0,0,0,0,0.1191,0.48142,0,0.48364,0.09909,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Kocuria,3.13119,23.96231,5.5902,11.79532,4.20736,1.69822,3.98888,4.57066,2.46609,0,1.68295,2.44975,0,0.89375,0,6.4709,0,0.2039,1.22986,0.28839,0.99741,3.00399,3.03932,0.6283
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Pseudarthrobacter,0,0,0,0,0,0,0,0,0,0,0.7499,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Promicromonosporaceae|g__Cellulosimicrobium,0,0,0.12031,0.22396,0.31096,1.33121,4.71559,0.81534,0.74457,0.57656,1.22409,1.11014,2.49946,0.66041,1.14843,2.34173,2.24858,2.04715,3.57605,2.09962,0.39315,1.63647,3.03638,24.59542
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Promicromonosporaceae|g__Promicromonospora,0,0,0,0.43028,0,0,0,0,0,0,0,0,0,0.3209,0,0,0,0,0.14614,0.7918,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioidaceae_unclassified,0,0,1.41986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Thermasporomyces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41852,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Saccharomonospora,0,0,0,0,0,0,0,0,0,0,0,6.63366,5.89436,3.49296,3.91534,6.78588,8.92022,13.02713,12.21005,9.81629,10.78952,2.883,10.93503,0.48827
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces,1.00835,0,0,0,0.35394,0,0,0,0,0,0,0,0,0,0,0.30327,0,0,0.89319,2.63707,2.07462,0,2.36153,1.27693
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptosporangiales|f__Nocardiopsaceae|g__Thermobifida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36922,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptosporangiales|f__Streptosporangiaceae|g__Nonomuraea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17233,0,0,0,0.98172,0
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales|f__Patulibacteraceae|g__Patulibacter,0.21877,0.18681,0.14974,0.33658,0.40965,0,0.32692,0.84203,0.68498,0.61472,0.79728,0.89589,0.7671,0.34615,0.86248,0.75707,0.84752,0.9142,0.59175,0.34868,0.42312,0.32798,0.54111,0.61983
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Thermoleophilales|f__Thermoleophilaceae|g__Thermoleophilum,2.19683,3.29924,2.99424,1.73832,2.17155,5.61522,2.06507,2.4008,3.71205,1.18995,3.48804,3.66992,3.54136,3.81744,2.54817,2.28488,5.26728,5.20013,3.02742,1.12961,1.36196,1.73094,3.47103,2.1394
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Chryseobacterium,0.40122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Sphingobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.40492
k__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Chloroflexales|f__Roseiflexaceae|g__Kouleothrix,0.58668,0,1.89265,1.01828,1.83372,0,0.64248,0.25384,0.31511,0.82207,0,0.31965,0.7122,0.30346,0,1.18058,0.36334,0,0.1237,0,0,0,0.32942,0
k__Bacteria|p__Chloroflexi|c__Thermomicrobia|o__Sphaerobacterales|f__Sphaerobacteraceae|g__Nitrolancea,1.40226,4.11384,7.46706,3.10901,1.31837,1.63476,2.09837,5.12634,3.38001,0.97846,2.01667,0.43478,0.91485,2.17668,2.37664,0,1.68109,2.25213,0.61838,0.40149,0.19513,1.25977,0,0
k__Bacteria|p__Chloroflexi|c__Thermomicrobia|o__Sphaerobacterales|f__Sphaerobacteraceae|g__Sphaerobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67463,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus,0,0.41194,0,0,1.39435,0,0,0,1.31183,0,0,0,0,0,0,0,2.11167,0,2.44866,1.11191,0.63941,2.8541,0.30347,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Quasibacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88312,0,0,1.99609,1.07901,3.28221,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Exiguobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.50469,0,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34492,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Thermoactinomycetaceae|g__Melghirimyces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08488,0,5.92475,1.59198,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Thermoactinomycetaceae|g__Novibacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.81094,2.14159,0,0,1.62325,1.61758,1.68915,2.42499,0.56388,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Thermoactinomycetaceae|g__Planifilum,0,0,0,0,0,0,0,0,0,0,0,0.7717,1.82663,0.4043,3.40205,4.61841,5.67653,2.93465,9.379,10.1675,19.73841,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus,0.25717,0,0,0,0,9.19953,0.36983,0,0,0,0,0,0,0,0,0,0,0,0.18792,0.15272,0.87794,0,0,0
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Gemmataceae|g__Fimbriiglobus,0,0.56571,0.95332,2.25845,0.94448,1.56376,0.7433,1.43115,2.08179,2.50883,0.82057,0.79141,1.77308,0.67958,4.02933,0.31206,1.70382,0.92009,0.31337,0.7745,0.70206,1.55469,2.67352,1.06869
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Isosphaeraceae|g__Paludisphaera,0.81515,0.68546,0.85524,0.69226,1.15476,0.62168,0,0.8536,1.07005,1.09281,0.96596,0.46042,1.54785,0,1.35405,1.20394,0.24694,0.7672,0.39663,0.68747,0.67364,0.35966,1.04292,0
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Isosphaeraceae|g__Singulisphaera,0,0.75512,0,0,0,0,0,1.86608,0,0,0,0,0,0,0,0.32412,0,0,0,0.13493,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Afipia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01181,0.39452,1.58699,0,0,0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Bosea,0.6533,2.83539,0,0,0,0.70722,0,0,0,0,1.2686,0,0,0,0,0,0,0,0,0,0,0,0,1.06263
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Bradyrhizobium,0,0,0,0.61856,0,0,0,0,0.14258,0,0,0,0,0.14494,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Nitrobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08891,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Phyllobacteriaceae|g__Aminobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8384,0,1.64895
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Phyllobacteriaceae|g__Mesorhizobium,4.91951,4.33359,2.91012,4.91933,5.04332,6.19807,5.71847,8.77116,5.93632,5.24904,6.50287,4.32831,4.14303,11.98563,10.12453,4.06879,6.40486,10.05873,4.24479,2.2563,3.00871,4.7017,7.16887,4.99609
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiaceae|g__Ensifer,2.23371,0,0.42114,0,0,0,0,0,0,0,4.41099,0,0,0,0,0.19794,0,0,0,0,0,0,0,0.38717
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiaceae|g__Rhizobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14069,0,0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiaceae|g__Sinorhizobium,0.42596,0,3.60685,1.24749,0,0,0.67212,0,1.98879,0,0,0.3363,0,0,0,2.04761,0,0,0.07085,0.13036,0.70391,0,0,0
