Item,As,Cd,Cr,Cu,Pb,Zn,P,pH,TC,TN,C/N,TS,DOC,SOM,Actinobacteria,Chloroflexi,Firmicutes,Planctomycetes,Proteobacteria
CK_7,11.76,0.18,69.68,22.44,21.31,65.28,1447.95,8.83,1.42,0.09,16.41,0.02,0.02,1.17,0.0705442,0.0198894,0.0025717,0.0081515,0.8948311
CK_14,12.12,0.48,67.83,22.06,21.38,67.15,1453.64,8.63,1.37,0.08,17.94,0.015,0.02,0.96,0.2996008,0.0411384,0.0041194,0.0200629,0.6350785
CK_24,11.37,0.11,73.42,21.9,19.67,68.91,1528.25,8.83,1.56,0.09,17.86,0.014,0.03,1.02,0.1089874,0.0935971,0,0.0180856,0.7793299
0.5N_5,11.35,0.12,67.86,21.27,22.86,64.48,1403.99,8.65,1.45,0.08,17.5,0.019,0.03,1.41,0.1629072,0.0412729,0,0.0295072,0.7663127
0.5N_10,11.7,0.16,66.68,23,21.15,73.95,1472.56,8.64,1.56,0.09,16.91,0.016,0.03,1.19,0.0800376,0.0315209,0.0139435,0.0209924,0.8535056
0.5N_15,11.6,0.39,65.96,22.71,20.72,83.68,1621.09,8.56,1.49,0.09,16.73,0.016,0.03,1.52,0.1046475,0.0163476,0.0919953,0.0218544,0.7651552
1N_6,11.75,0.17,66.78,21.33,21.26,61.73,1340.22,8.58,1.44,0.08,17.22,0.021,0.03,1.43,0.1356659,0.0274086,0.0036983,0.007433,0.8257943
1N_9,11.84,0.31,64.79,21.6,22.94,63.59,1422.17,8.57,1.45,0.09,17.01,0.019,0.03,1.22,0.1054214,0.0538018,0,0.0415083,0.7992685
1N_13,11.22,0.03,69.89,20.39,21.66,64.89,1298.79,8.54,1.4,0.09,16.45,0.016,0.03,1.52,0.1006822,0.0369512,0.0131183,0.0315184,0.81773
0.5SS_4,11.87,0.08,74.07,25.65,21.75,98.75,2132.23,8.23,1.65,0.11,15.65,0.025,0.04,0.92,0.0276685,0.0180054,0,0.0360165,0.9183097
0.5SS_8,12.27,0.02,69.64,26.78,19.48,105.2,2040.78,8.47,1.71,0.1,16.39,0.02,0.03,1.44,0.094742,0.0201667,0,0.0178653,0.867226
0.5SS_12,11.96,0.37,69.16,27,20.99,112.72,1893.19,8.5,1.79,0.12,15.39,0.019,0.04,1.57,0.1583863,0.0075444,0.007717,0.0125183,0.8138341
1SS_2,11.4,0.24,82.17,24.99,21.07,97.12,2472.42,7.96,1.75,0.13,13.55,0.033,0.05,1.37,0.1359761,0.0162705,0.0182663,0.0332093,0.7962779
1SS_20,12.6,0.12,71.49,29.09,19.5,128.36,2270.52,8.4,1.78,0.12,15.32,0.016,0.05,1.77,0.1001397,0.0248014,0.0174922,0.0067958,0.8507709
1SS_22,11.55,0.23,70.6,27.11,19.16,118.38,2362.01,8.49,1.69,0.11,15.17,0.016,0.04,2,0.0847441,0.0237664,0.0521298,0.0538339,0.7855257
2SS_1,13.65,0.01,71.82,39.02,21.05,199.75,3887.2,7.91,2.48,0.2,12.69,0.074,0.07,1.38,0.2340549,0.0118058,0.0764312,0.0184012,0.6593069
2SS_17,12.02,0.41,73.33,31.62,21.06,160.68,2626.3,8.36,1.96,0.14,13.98,0.018,0.05,1.69,0.1845888,0.0204442,0.077882,0.0195075,0.6975775
2SS_21,12.12,0.29,70.02,33.1,20.4,161.97,3026.63,8.37,1.96,0.14,14.46,0.018,0.05,1.83,0.213925,0.0225213,0.0293465,0.0168729,0.7173342
4SS_11,14.63,0.07,75.5,51.48,16.35,306.08,6064.94,7.71,3.24,0.28,11.7,0.027,0.08,2.02,0.2642172,0.0074208,0.1563491,0.0071,0.5520008
4SS_16,14.31,0.09,75.31,49.26,17.5,280.19,5322.33,7.77,3.04,0.26,11.76,0.025,0.08,1.87,0.2100711,0.0040149,0.1571829,0.015969,0.5742374
4SS_19,13.4,0.3,74.22,46.74,20.51,280.47,5032.01,8.1,2.9,0.25,11.84,0.025,0.08,1.79,0.2673156,0.0086976,0.2622712,0.013757,0.4024863
1CM_3,11.91,0.11,70.53,32.21,21.02,141.16,2817.39,8.12,1.75,0.12,15.12,0.026,0.04,1.94,0.2974815,0,0,0.0106869,0.6677824
1CM_8,10.38,0.1,75.87,24.69,20.19,95.65,2521.84,7.89,1.73,0.13,13.72,0.02,0.05,0.93,0.0992981,0.0125977,0.1120384,0.0191435,0.7569222
1CM_23,11.02,0.13,75.12,24.26,21.09,92.71,2351.53,8.53,1.66,0.11,14.72,0.016,0.04,1.71,0.2515433,0.0032942,0.0245933,0.0371644,0.6834048
