vOTU,CK_7,CK_14,CK_24,N_0.5_5,N_0.5_10,N_0.5_15,N_1_6,N_1_9,N_1_13,SS_0.5_4,SS_0.5_12,SS_0.5_18,SS_1_2,SS_1_20,SS_1_22,SS_2_1,SS_2_17,SS_2_21,SS_4_11,SS_4_16,SS_4_19,CM_1_3,CM_1_8,CM_1_23
1CM_k141_2256827,0.00000048,0.000000694,0.00000552,0.00000148,0.00000048,0.00000279,0.00000245,0.0000165,0.0000296,0.001119674,0.0000173,0.00000257,0.000160656,0.0000104,0.0000126,0.00000475,0.00000184,0.00000776,0.00000683,0.00000266,0.00000922,0.000173598,0.000142622,0.000237448
2SS_k141_883145,0,0,2.26E-08,0,0,0,4.54E-08,0,0,0,0.000002,0,0,0,0.00000186,0,0.0000102,0.00000207,0,0,0,0,0,0
2SS_k141_1976487,0.00000048,3.33E-08,0.00000132,3.55E-08,1.18E-08,3.86E-08,0.00000185,2.71E-08,0.000000023,8.89E-09,2.28E-08,2.74E-08,0.000000134,2.57E-08,0.00000137,0.0000159,0.000089,0.00000917,5.69E-08,0.0000116,0.00000188,0.000000387,2.01E-08,8.85E-08
4SS_k141_1849582,0,0,0.000000018,0,0.000000026,8.7E-09,3.63E-08,0,0.00000148,0.000000452,0,0.000000395,0.00000126,0,0,0.00000111,0.00000497,0.0000224,0.0000174,0.00000167,0.00000826,0,2.72E-08,0
1SS_k141_1656925,0,0.000000022,0,0,4.59E-08,1.02E-08,7.45E-08,0,0,0.00000109,0.000000232,0.000000175,0.00000162,0.00000484,0.0000071,0,0,0.000000025,0,0,0,0,1.59E-08,1.06E-08
4SS_k141_161097,0,0,1.15E-08,0.000000108,0.00000156,0.000000276,0,0.00000022,0.00000137,9.58E-08,5.33E-08,0,0.0000055,0.00000559,0.00000321,0.00000149,7.61E-08,5.42E-08,0.0000108,0.000000299,0,0.00000166,1.73E-08,0.000000924
1SS_k141_1629438,2.21E-08,0,0,2.25E-08,1.71E-08,0.00000137,0.00000015,0,0,0,0.00000009,0.00000156,0,0.000012,0.00000414,0.00000288,0.000000968,0.000000266,1.05E-08,0.00000427,0.000000393,0.000000039,3.57E-08,1.19E-08
4SS_k141_2191122,0,8.46E-08,4.47E-08,0.0000079,0,0.00000129,1.63E-08,3.89E-09,0.0000147,0.00000306,8.97E-08,0.000000952,0.00000359,0.00000465,0.0000109,7.37E-08,8.13E-08,0.0000127,4.33E-08,0.000000758,0.0000593,0.000000813,0.00000452,0.000000796
2SS_k141_1403384,3.44E-08,0.00000226,0.000000169,0,1.32E-08,0.000000695,3.69E-08,1.76E-08,3.58E-08,0.000000499,0.000001,0.000000626,0,0.0000115,0.000019,0.000000456,0.00000822,0.0000147,6.52E-08,0.00000192,0.000000305,0.00000552,2.77E-08,0.000000162
1N_k141_1161635,0.000000808,0.000000373,4.21E-08,0.00000114,0,0.00000161,0.000000488,0.0000159,0.0000023,1.08E-08,0.00000138,0.000000557,0.0000102,0.00000634,0.00000608,0.00000273,0.000000643,0.00000844,9.37E-08,0.00000068,4.38E-08,0.00000214,0.00000185,0.000000379
1CM_k141_2385221,0,7.51E-09,0,0,5.2E-09,0.000000074,5.07E-08,0,3.53E-08,0.00000124,0.00000329,0.000000796,2.02E-08,0.000000605,0.000000851,0.000000506,0.00000115,0.00000263,0.00000032,0.00000195,0.000000965,0.0000109,1.09E-08,0.000000029
