ID,CK_7,CK_14,CK_24,0.5N_5,0.5N_10,0.5N_15,1N_6,1N_9,1N_13,0.5SS_8,0.5SS_4,0.5SS_12,1SS_2,1SS_20,1SS_22,2SS_1,2SS_17,2SS_21,4SS_11,4SS_16,4SS_19,1CM_3,1CM_8,1CM_23
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Gordoniaceae|g__Gordonia|s__Gordonia_terrae,0,0,0,0,0,0,0.0051176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycolicibacterium|s__Mycolicibacterium_bacteremicum,0,0,0,0.0022346,0,0,0,0,0.0049013,0,0,0,0,0,0,0,0,0,0.0010488,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycolicibacterium|s__Mycolicibacterium_elephantis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023094,0.0030239,0.0036492,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycolicibacterium|s__Mycolicibacterium_thermoresistibile,0,0,0,0,0,0,0,0,0,0,0,0,0.0089533,0,0,0.0118882,0.001102,0,0.0213415,0.0197644,0.0963699,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycolicibacterium|s__Mycolicibacterium_tokaiense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0036712,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycolicibacterium|s__Mycolicibacterium_tusciae,0,0,0,0.0017994,0,0,0,0,0,0,0,0,0,0,0,0,0.0022683,0,0.0044388,0.0073828,0.0020009,0.0011837,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Geodermatophilales|f__Geodermatophilaceae|g__Geodermatophilus|s__Geodermatophilus_obscurus,0.0049928,0.0251172,0.0062439,0.0136287,0.0055031,0.018201,0.0195836,0.0161965,0.0197039,0.0153193,0,0.0062544,0,0.0048237,0,0.0108741,0.0035682,0,0.002494,0.0029717,0,0.0022907,0.0041899,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Cellulomonadaceae|g__Cellulomonas|s__Cellulomonas_cellasea,0,0,0,0,0,0,0,0,0,0,0,0.0045383,0,0,0,0.0065798,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Intrasporangiaceae|g__Knoellia|s__Knoellia_aerolata,0,0,0,0,0,0,0,0,0,0,0.0038563,0,0,0,0,0.0140845,0,0,0.0092804,0.0011518,0.0007128,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Arthrobacter|s__Arthrobacter_crystallopoietes,0,0,0,0,0,0,0,0.0029365,0,0,0,0,0,0,0,0,0,0,0.0022094,0,0,0,0,0
