Treatment,Microviridae,Siphoviridae,Circoviridae,Podoviridae,Myoviridae,Herpesviridae
CK,0.050099409,0.018678669,0.000152985,0.00486214,0.002851724,8.49352E-05
CK,0.042434641,0.035841558,0.000364084,0.005833391,0.005960906,6.81067E-05
CK,0.176580176,0.007050573,0.002112873,0.001675786,0.001770087,0.000121057
0.5N,0.121678306,0.02005892,0.005247126,0.007156336,0.001387217,4.70893E-05
0.5N,0.184818142,0.010187061,0.003389585,0.002195712,0.001405485,8.05419E-05
0.5N,0.184373699,0.028084057,0.001138265,0.004068435,0.003008846,0.000149035
1N,0.078427326,0.025401066,0.010423911,0.004822676,0.003866194,0.000274365
1N,0.22544805,0.008696256,0.071674331,0.002632414,0.000736352,4.82348E-05
1N,0.255083062,0.014704362,0.012980972,0.002579418,0.001591398,7.01864E-05
0.5SS,0.12294168,0.021973404,0.004837008,0.003896662,0.00199488,0.00049607
0.5SS,0.22959181,0.026218992,0.0079948,0.003399203,0.003433023,0.00023678
0.5SS,0.034294275,0.040885696,0.004538294,0.003079583,0.001187672,0.000686367
1SS,0.086706265,0.035067198,0.003020081,0.004162118,0.003693923,0.000176794
1SS,0.080298122,0.030896226,0.003005146,0.002686671,0.002968838,0.004756635
1SS,0.270255644,0.027615846,0.003907327,0.003928495,0.002337702,0.000320075
2SS,0.09349451,0.029201879,0.0011616,0.004299631,0.002028841,0.001589536
2SS,0.087741995,0.015528421,0.009796948,0.001697344,0.002596687,0.00271065
2SS,0.053889365,0.024717509,0.00465703,0.002111308,0.003345105,0.007707767
4SS,0.031084999,0.062154827,0.001427928,0.003431715,0.005210995,0.000953267
4SS,0.043127411,0.046240571,0.00047061,0.002857158,0.003724464,0.002101446
4SS,0.100613448,0.034325136,0.001590578,0.002674775,0.003534111,0.002065264
1CM,0.119165742,0.029389165,0.005623385,0.002943127,0.002974243,0.002547978
1CM,0.171860742,0.022622125,0.017198686,0.00247916,0.003005401,0.000106095
1CM,0.135372563,0.011873925,0.0019017,0.001221138,0.001362302,0.000348978
