Treatment,Lavidaviridae,Iridoviridae,Pithoviridae,Baculoviridae,Cruciviridae,Mimiviridae,Phycodnaviridae,Nanoviridae,Marseilleviridae,Inoviridae,Unassigned Caudovirales,Genomoviridae,Herpesviridae,Myoviridae,Podoviridae,Circoviridae,Siphoviridae,Microviridae,Unassigned
CK,3.30E-08,1.71E-05,1.18E-05,7.00E-07,1.53E-05,1.12E-05,7.27E-05,1.71E-06,2.31E-05,0.000704822,0.001199592,0.000276578,8.49E-05,0.002852025,0.004861903,0.000153046,0.018678261,0.050099375,0.920935949
CK,0.00E+00,6.99E-06,3.10E-05,1.96E-05,1.72E-05,1.27E-04,2.87E-04,1.84E-06,8.29E-06,0.001262479,0.001125866,0.000517784,6.81E-05,0.005961155,0.005833176,0.000364089,0.035841255,0.042435859,0.906091496
CK,0.00E+00,0.00E+00,2.29E-06,3.54E-06,1.56E-05,3.06E-05,5.92E-05,8.71E-06,8.20E-06,0.000967292,0.002739497,0.000737369,0.000121038,0.001770118,0.001675839,0.00211277,0.007050492,0.176580076,0.806117357
0.5N,0.00E+00,6.89E-07,2.62E-06,1.19E-05,1.98E-05,3.59E-05,4.41E-05,2.05E-06,1.18E-05,0.000621937,0.000375648,0.000272956,4.70E-05,0.001387187,0.007156328,0.005247302,0.020059221,0.121679703,0.843023723
0.5N,0.00E+00,4.41E-06,7.09E-06,7.32E-06,4.24E-05,5.56E-05,9.11E-05,4.00E-06,1.55E-05,0.00037753,0.000341582,0.000299572,8.05E-05,0.001405393,0.00219554,0.003389487,0.010187452,0.184818856,0.796676521
0.5N,0.00E+00,4.52E-08,5.47E-06,2.95E-05,6.22E-06,6.18E-05,1.08E-04,7.76E-06,0.000395787,0.000992345,0.000852314,0.000925636,0.000149027,0.003009165,0.004068401,0.001138297,0.028083906,0.184373738,0.775792494
1N,0.00E+00,4.44E-07,7.76E-06,8.00E-06,2.25E-05,6.11E-05,1.05E-04,3.21E-06,2.26E-05,0.000209771,0.001054044,0.000517807,0.000274478,0.003866163,0.004822429,0.010423751,0.025400553,0.078428428,0.874771671
1N,0.00E+00,1.44E-07,6.84E-06,1.31E-06,1.54E-05,6.42E-06,1.11E-04,9.14E-06,1.05E-05,0.000242168,0.000314464,0.001651931,4.82E-05,0.000736236,0.002632316,0.071674246,0.008696753,0.225448832,0.688393684
1N,0.00E+00,0.00E+00,8.12E-06,1.96E-05,1.85E-05,4.59E-05,9.72E-05,2.39E-05,1.45E-05,0.000247641,0.000392774,0.000793386,7.02E-05,0.001591126,0.002579563,0.012980948,0.014703602,0.255082134,0.711330895
0.5SS,0.00E+00,0.00E+00,1.20E-05,2.92E-05,3.12E-05,1.14E-04,1.33E-04,5.08E-04,3.70E-05,0.00168305,0.000591512,0.004952352,0.000496109,0.00199453,0.003896635,0.004836834,0.021973067,0.122941822,0.835768989
0.5SS,1.50E-08,1.05E-05,1.67E-05,9.43E-06,1.47E-05,1.18E-04,2.58E-04,1.66E-05,1.56E-05,0.000888518,0.000776972,0.000647104,0.00023689,0.003432782,0.003399355,0.007994922,0.026219458,0.229590357,0.726354582
0.5SS,0.00E+00,8.44E-07,6.35E-07,2.06E-05,1.41E-05,3.17E-05,2.36E-05,2.91E-06,5.20E-05,6.75E-05,0.000689599,6.33E-05,0.000686428,0.001187528,0.00307956,0.0045383,0.040885743,0.03429453,0.914361052
1SS,0.00E+00,6.55E-08,3.88E-05,1.56E-05,1.42E-05,5.16E-05,8.59E-05,3.19E-03,5.07E-05,0.001211778,0.001022639,0.002104902,0.000176786,0.003694027,0.004162067,0.003020126,0.035067339,0.086705872,0.859385416
1SS,0.00E+00,1.09E-06,1.13E-05,1.27E-05,2.18E-05,5.50E-05,1.92E-04,3.56E-06,6.21E-05,0.000686296,0.000887785,0.00022793,0.004756556,0.002969065,0.002686715,0.003005165,0.030896231,0.080299126,0.873225283
1SS,0.00E+00,3.21E-06,1.03E-05,2.98E-05,5.40E-05,3.74E-05,2.19E-04,9.55E-05,2.26E-05,0.001462482,0.001235788,0.002992908,0.0003201,0.002337611,0.003928442,0.003907049,0.027614945,0.270255052,0.685473916
2SS,0.00E+00,0.00E+00,1.33E-05,1.75E-05,3.78E-05,2.41E-05,1.15E-04,2.80E-04,1.05E-05,0.001222043,0.000417849,0.0007522,0.00158957,0.002028889,0.004299655,0.001161857,0.029201764,0.093494318,0.865333522
2SS,2.43E-05,8.96E-08,1.29E-05,6.07E-06,1.44E-05,3.19E-05,2.16E-04,2.73E-04,0.000349542,0.000399315,0.000652053,0.000221455,0.002710685,0.002596719,0.001697533,0.009796942,0.015528177,0.087742268,0.877726605
2SS,4.30E-06,0.00E+00,1.01E-05,1.32E-05,5.97E-06,2.45E-05,2.16E-04,2.04E-05,0.000133687,0.000498602,0.000600488,0.000226129,0.00770777,0.003345174,0.002111499,0.004657138,0.024717791,0.053889674,0.901817437
4SS,1.57E-08,4.26E-07,6.19E-05,1.61E-05,1.39E-05,6.61E-05,3.56E-04,1.43E-04,0.000160008,0.000225917,0.000877929,0.000245584,0.000953313,0.005211481,0.003431804,0.001428081,0.062154663,0.031085084,0.893567996
4SS,0,0,1.07E-05,5.02E-05,0,5.85E-05,0.000304361,9.38E-05,0.006545115,0.000416475,0.000996432,0.000168827,0.00210142,0.003724549,0.002857102,0.000470663,0.046240444,0.043128324,0.892832996
4SS,0,1.67E-06,5.09E-06,1.38E-05,1.29E-05,2.84E-05,0.000169788,1.02E-05,0.001146318,0.00037485,0.001134054,0.000354393,0.002065272,0.003533992,0.002674824,0.001590741,0.034325434,0.100612895,0.851945398
1CM,1.20E-08,0,3.12E-06,4.46E-05,8.85E-06,7.93E-05,0.000203026,1.81E-05,3.02E-05,0.000943042,0.000775568,0.002234884,0.002548058,0.002974257,0.002942872,0.005623563,0.029389279,0.119165958,0.833015265
